"SettlementPoint","Year","Month","DayOfWeek","NormalizedPrice"
"LZ_HOUSTON",2016,1,1,0.932776300797569
"LZ_HOUSTON",2016,1,1,0.817318647930118
"LZ_HOUSTON",2016,1,1,0.790479807570579
"LZ_HOUSTON",2016,1,1,0.790986200784909
"LZ_HOUSTON",2016,1,1,0.807190783643499
"LZ_HOUSTON",2016,1,1,0.845170274718319
"LZ_HOUSTON",2016,1,1,0.96012153437144
"LZ_HOUSTON",2016,1,1,0.97126218508672
"LZ_HOUSTON",2016,1,1,0.966198252943411
"LZ_HOUSTON",2016,1,1,0.995569059374604
"LZ_HOUSTON",2016,1,1,1.04317002152171
"LZ_HOUSTON",2016,1,1,1.04317002152171
"LZ_HOUSTON",2016,1,1,1.02797822509178
"LZ_HOUSTON",2016,1,1,1.01633118116217
"LZ_HOUSTON",2016,1,1,0.966704646157742
"LZ_HOUSTON",2016,1,1,0.979364476516015
"LZ_HOUSTON",2016,1,1,1.01633118116217
"LZ_HOUSTON",2016,1,1,1.26294467654133
"LZ_HOUSTON",2016,1,1,1.32978858083302
"LZ_HOUSTON",2016,1,1,1.17685783010508
"LZ_HOUSTON",2016,1,1,1.15407013546018
"LZ_HOUSTON",2016,1,1,1.08165590581086
"LZ_HOUSTON",2016,1,1,1.02899101152045
"LZ_HOUSTON",2016,1,1,0.995569059374604
"LZ_HOUSTON",2016,1,2,0.939014339871436
"LZ_HOUSTON",2016,1,2,0.887094115707928
"LZ_HOUSTON",2016,1,2,0.848524806329323
"LZ_HOUSTON",2016,1,2,0.840613153123455
"LZ_HOUSTON",2016,1,2,0.885116202406461
"LZ_HOUSTON",2016,1,2,0.872754244272293
"LZ_HOUSTON",2016,1,2,0.994890390637877
"LZ_HOUSTON",2016,1,2,1.05521674633262
"LZ_HOUSTON",2016,1,2,1.1580682380089
"LZ_HOUSTON",2016,1,2,1.22976759518708
"LZ_HOUSTON",2016,1,2,1.15707928135817
"LZ_HOUSTON",2016,1,2,1.07994066260096
"LZ_HOUSTON",2016,1,2,1.02802043843745
"LZ_HOUSTON",2016,1,2,0.973133344321741
"LZ_HOUSTON",2016,1,2,0.904400857095764
"LZ_HOUSTON",2016,1,2,0.887094115707928
"LZ_HOUSTON",2016,1,2,0.956321081259272
"LZ_HOUSTON",2016,1,2,1.1610351079611
"LZ_HOUSTON",2016,1,2,1.16054062963573
"LZ_HOUSTON",2016,1,2,1.07450140102192
"LZ_HOUSTON",2016,1,2,1.02505356848525
"LZ_HOUSTON",2016,1,2,0.987967694082743
"LZ_HOUSTON",2016,1,2,0.982528432503709
"LZ_HOUSTON",2016,1,2,0.911323553650898
"LZ_HOUSTON",2016,1,3,0.94549233097653
"LZ_HOUSTON",2016,1,3,0.891820461270867
"LZ_HOUSTON",2016,1,3,0.877182678623868
"LZ_HOUSTON",2016,1,3,0.886399060290497
"LZ_HOUSTON",2016,1,3,0.922180306760939
"LZ_HOUSTON",2016,1,3,0.959045833427455
"LZ_HOUSTON",2016,1,3,1.04524610901534
"LZ_HOUSTON",2016,1,3,1.08644875646615
"LZ_HOUSTON",2016,1,3,1.09349657774063
"LZ_HOUSTON",2016,1,3,1.09620727823082
"LZ_HOUSTON",2016,1,3,1.07614809460345
"LZ_HOUSTON",2016,1,3,1.01163342293704
"LZ_HOUSTON",2016,1,3,0.92922812803542
"LZ_HOUSTON",2016,1,3,0.885314780094423
"LZ_HOUSTON",2016,1,3,0.86959271725135
"LZ_HOUSTON",2016,1,3,0.865797736565091
"LZ_HOUSTON",2016,1,3,0.920553886466828
"LZ_HOUSTON",2016,1,3,1.1531319885247
"LZ_HOUSTON",2016,1,3,1.18566039440692
"LZ_HOUSTON",2016,1,3,1.1325306647993
"LZ_HOUSTON",2016,1,3,1.09783369852493
"LZ_HOUSTON",2016,1,3,1.06747385303486
"LZ_HOUSTON",2016,1,3,1.01813910411349
"LZ_HOUSTON",2016,1,3,0.98344213783912
"LZ_HOUSTON",2016,1,4,0.764909782466133
"LZ_HOUSTON",2016,1,4,0.767607876936913
"LZ_HOUSTON",2016,1,4,0.78559517340878
"LZ_HOUSTON",2016,1,4,0.809428341234003
"LZ_HOUSTON",2016,1,4,0.869685784414757
"LZ_HOUSTON",2016,1,4,0.980307657716738
"LZ_HOUSTON",2016,1,4,2.41254613928913
"LZ_HOUSTON",2016,1,4,1.61031271664387
"LZ_HOUSTON",2016,1,4,1.09632571996028
"LZ_HOUSTON",2016,1,4,1.0657473159581
"LZ_HOUSTON",2016,1,4,0.980757340128534
"LZ_HOUSTON",2016,1,4,0.910606883888254
"LZ_HOUSTON",2016,1,4,0.855295947237264
"LZ_HOUSTON",2016,1,4,0.786494538232373
"LZ_HOUSTON",2016,1,4,0.738828202581926
"LZ_HOUSTON",2016,1,4,0.742875344288097
"LZ_HOUSTON",2016,1,4,0.783796443761593
"LZ_HOUSTON",2016,1,4,1.03381986472054
"LZ_HOUSTON",2016,1,4,1.22988139626389
"LZ_HOUSTON",2016,1,4,1.03112177024976
"LZ_HOUSTON",2016,1,4,1.01943002754305
"LZ_HOUSTON",2016,1,4,0.966367502951041
"LZ_HOUSTON",2016,1,4,0.916452755241611
"LZ_HOUSTON",2016,1,4,0.841805474883364
"LZ_HOUSTON",2016,1,5,0.753259066129415
"LZ_HOUSTON",2016,1,5,0.752785020146954
"LZ_HOUSTON",2016,1,5,0.757999525954018
"LZ_HOUSTON",2016,1,5,0.782175871059493
"LZ_HOUSTON",2016,1,5,0.853282768428538
"LZ_HOUSTON",2016,1,5,1.00450343683337
"LZ_HOUSTON",2016,1,5,2.31002607252904
"LZ_HOUSTON",2016,1,5,1.41170893576677
"LZ_HOUSTON",2016,1,5,1.08746148376393
"LZ_HOUSTON",2016,1,5,1.07134392036028
"LZ_HOUSTON",2016,1,5,1.01872481630718
"LZ_HOUSTON",2016,1,5,0.977482815833136
"LZ_HOUSTON",2016,1,5,0.93624081535909
"LZ_HOUSTON",2016,1,5,0.90447973453425
"LZ_HOUSTON",2016,1,5,0.854230860393458
"LZ_HOUSTON",2016,1,5,0.835743067077507
"LZ_HOUSTON",2016,1,5,0.876036975586632
"LZ_HOUSTON",2016,1,5,1.0746622422375
"LZ_HOUSTON",2016,1,5,1.07750651813226
"LZ_HOUSTON",2016,1,5,1.03910879355297
"LZ_HOUSTON",2016,1,5,0.995970609149088
"LZ_HOUSTON",2016,1,5,0.931500355534487
"LZ_HOUSTON",2016,1,5,0.882199573358616
"LZ_HOUSTON",2016,1,5,0.811566721972031
"LZ_HOUSTON",2016,1,6,0.692429130345254
"LZ_HOUSTON",2016,1,6,0.586999794083328
"LZ_HOUSTON",2016,1,6,0.564486237902395
"LZ_HOUSTON",2016,1,6,0.641361795593383
"LZ_HOUSTON",2016,1,6,0.751733131992587
"LZ_HOUSTON",2016,1,6,0.953256915368248
"LZ_HOUSTON",2016,1,6,1.28766559132404
"LZ_HOUSTON",2016,1,6,1.19651314434759
"LZ_HOUSTON",2016,1,6,1.12787425355206
"LZ_HOUSTON",2016,1,6,1.12403047566751
"LZ_HOUSTON",2016,1,6,1.14489669846935
"LZ_HOUSTON",2016,1,6,1.08339625231656
"LZ_HOUSTON",2016,1,6,1.02573958404832
"LZ_HOUSTON",2016,1,6,1.03617269544924
"LZ_HOUSTON",2016,1,6,1.0153064726474
"LZ_HOUSTON",2016,1,6,0.970828471411902
"LZ_HOUSTON",2016,1,6,1.01256091701558
"LZ_HOUSTON",2016,1,6,1.37167959365777
"LZ_HOUSTON",2016,1,6,1.33159448143318
"LZ_HOUSTON",2016,1,6,1.17564692154575
"LZ_HOUSTON",2016,1,6,1.0982222527284
"LZ_HOUSTON",2016,1,6,1.02409225066923
"LZ_HOUSTON",2016,1,6,0.924154025670945
"LZ_HOUSTON",2016,1,6,0.85935891275997
"LZ_HOUSTON",2016,1,7,0.846507083536883
"LZ_HOUSTON",2016,1,7,0.651294577430386
"LZ_HOUSTON",2016,1,7,0.625500732779678
"LZ_HOUSTON",2016,1,7,0.644846116267709
"LZ_HOUSTON",2016,1,7,0.746849047386419
"LZ_HOUSTON",2016,1,7,0.877576941866146
"LZ_HOUSTON",2016,1,7,1.25627747923791
"LZ_HOUSTON",2016,1,7,1.26213971665852
"LZ_HOUSTON",2016,1,7,1.17068881289692
"LZ_HOUSTON",2016,1,7,1.15368832437714
"LZ_HOUSTON",2016,1,7,1.16424035173425
"LZ_HOUSTON",2016,1,7,0.98485588666341
"LZ_HOUSTON",2016,1,7,0.971372740595994
"LZ_HOUSTON",2016,1,7,0.956717147044455
"LZ_HOUSTON",2016,1,7,0.918026380068393
"LZ_HOUSTON",2016,1,7,0.918612603810454
"LZ_HOUSTON",2016,1,7,0.949682462139717
"LZ_HOUSTON",2016,1,7,1.35652173913043
"LZ_HOUSTON",2016,1,7,1.30258915486077
"LZ_HOUSTON",2016,1,7,1.21993160723009
"LZ_HOUSTON",2016,1,7,1.16306790425012
"LZ_HOUSTON",2016,1,7,1.0552027357108
"LZ_HOUSTON",2016,1,7,0.93209574987787
"LZ_HOUSTON",2016,1,7,0.87171470444553
"LZ_HOUSTON",2016,1,8,0.841588880561423
"LZ_HOUSTON",2016,1,8,0.764733937453158
"LZ_HOUSTON",2016,1,8,0.76418886693466
"LZ_HOUSTON",2016,1,8,0.764733937453158
"LZ_HOUSTON",2016,1,8,0.822511412413981
"LZ_HOUSTON",2016,1,8,0.956053689446072
"LZ_HOUSTON",2016,1,8,1.24385092321319
"LZ_HOUSTON",2016,1,8,1.22095796143626
"LZ_HOUSTON",2016,1,8,1.16808612114192
"LZ_HOUSTON",2016,1,8,1.16263541595694
"LZ_HOUSTON",2016,1,8,1.12502555018055
"LZ_HOUSTON",2016,1,8,1.01928186959188
"LZ_HOUSTON",2016,1,8,0.947877631668597
"LZ_HOUSTON",2016,1,8,0.94024664440962
"LZ_HOUSTON",2016,1,8,0.903181849151734
"LZ_HOUSTON",2016,1,8,0.901546637596239
"LZ_HOUSTON",2016,1,8,0.95986918307556
"LZ_HOUSTON",2016,1,8,1.28364107106357
"LZ_HOUSTON",2016,1,8,1.19970021121483
"LZ_HOUSTON",2016,1,8,1.10540301151461
"LZ_HOUSTON",2016,1,8,1.07215370988622
"LZ_HOUSTON",2016,1,8,0.978946651223002
"LZ_HOUSTON",2016,1,8,0.953873407372079
"LZ_HOUSTON",2016,1,8,0.899911426040744
"LZ_HOUSTON",2016,1,9,0.854341489267733
"LZ_HOUSTON",2016,1,9,0.769543326561258
"LZ_HOUSTON",2016,1,9,0.748873774401555
"LZ_HOUSTON",2016,1,9,0.741983923681654
"LZ_HOUSTON",2016,1,9,0.750463739952301
"LZ_HOUSTON",2016,1,9,0.713364543768218
"LZ_HOUSTON",2016,1,9,0.903630421340871
"LZ_HOUSTON",2016,1,9,1.04778729794188
"LZ_HOUSTON",2016,1,9,1.0758766893384
"LZ_HOUSTON",2016,1,9,1.14530518505432
"LZ_HOUSTON",2016,1,9,1.17445455348467
"LZ_HOUSTON",2016,1,9,1.08700644819362
"LZ_HOUSTON",2016,1,9,0.963519123752319
"LZ_HOUSTON",2016,1,9,0.950269410829432
"LZ_HOUSTON",2016,1,9,0.922180019432912
"LZ_HOUSTON",2016,1,9,0.930129847186644
"LZ_HOUSTON",2016,1,9,1.00273827400406
"LZ_HOUSTON",2016,1,9,1.26932249801254
"LZ_HOUSTON",2016,1,9,1.25660277360657
"LZ_HOUSTON",2016,1,9,1.24547301475135
"LZ_HOUSTON",2016,1,9,1.17604451903542
"LZ_HOUSTON",2016,1,9,1.14371521950358
"LZ_HOUSTON",2016,1,9,1.10767600035333
"LZ_HOUSTON",2016,1,9,1.01969790654536
